transaction_id,date,product,category,quantity,price,region,salesperson
1001,2024-01-05,Laptop,Electronics,2.0,12000,North,John
1002,2024-01-07,Phone,Electronics,5.0,8000,South,Mary
1003,2024-01-10,Tablet,Electronics,3.0,6000,East,David
1003,2024-01-10,Tablet,Electronics,3.0,6000,East,David
1004,2024-01-15,Chair,Furniture,,1500,West,Sarah
1005,2024-01-20,Desk,Furniture,2.0,3000,North,John
1006,2024-01-22,Laptop,Electronics,1.0,12000,South,Mary
1007,2024-01-25,Phone,Electronics,6.0,8000,East,David
1008,2024-01-28,Tablet,Electronics,2.0,6000,West,Sarah
1009,2024-02-01,Chair,Furniture,5.0,1500,North,John
1010,2024-02-03,Desk,Furniture,3.0,3000,South,
1011,2024-02-05,Laptop,Electronics,2.0,12000,East,David
1012,2024-02-07,Phone,Electronics,4.0,8000,West,Sarah
1013,2024-02-10,Tablet,Electronics,3.0,6000,North,John
1014,2024-02-12,Chair,Furniture,6.0,1500,South,Mary
1015,2024-02-15,Desk,Furniture,2.0,3000,East,David
1016,2024-02-18,Laptop,Electronics,1.0,12000,West,Sarah
1017,2024-02-20,Phone,Electronics,7.0,8000,North,John
1018,2024-02-22,Tablet,Electronics,2.0,6000,South,Mary
1019,2024-02-25,Chair,Furniture,4.0,1500,East,David
1020,2024-02-28,Desk,Furniture,3.0,3000,West,Sarah
1021,2024-03-02,Laptop,Electronics,2.0,12000,North,John
1022,2024-03-04,Phone,Electronics,5.0,8000,South,Mary
1023,2024-03-06,Tablet,Electronics,3.0,6000,East,David
1024,2024-03-08,Chair,Furniture,4.0,1500,West,Sarah
1025,2024-03-10,Desk,Furniture,2.0,3000,North,John
1026,2024-03-12,Laptop,Electronics,1.0,12000,South,Mary
1027,2024-03-14,Phone,Electronics,6.0,8000,East,David
1028,2024-03-16,Tablet,Electronics,2.0,6000,West,Sarah
1029,2024-03-18,Chair,Furniture,5.0,1500,North,John
1030,2024-03-20,Desk,Furniture,3.0,3000,South,Mary
1030,2024-03-20,Desk,Furniture,3.0,3000,South,Mary
1031,2024-03-22,Laptop,Electronics,2.0,12000,East,David
1032,2024-03-24,Phone,Electronics,4.0,8000,West,Sarah
1033,2024-03-26,Tablet,Electronics,3.0,6000,North,John
1034,2024-03-28,Chair,Furniture,6.0,1500,South,Mary
1035,2024-03-30,Desk,Furniture,2.0,3000,East,David
1036,2024-04-02,Laptop,Electronics,1.0,12000,West,Sarah
1037,2024-04-04,Phone,Electronics,7.0,8000,North,John
1038,2024-04-06,Tablet,Electronics,2.0,6000,South,Mary
1039,2024-04-08,Chair,Furniture,4.0,1500,East,David
1040,2024-04-10,Desk,Furniture,3.0,3000,West,Sarah
1041,2024-04-12,Laptop,Electronics,2.0,12000,North,John
1042,2024-04-14,Phone,Electronics,5.0,8000,South,Mary
1043,2024-04-16,Tablet,Electronics,3.0,6000,East,David
1044,2024-04-18,Chair,Furniture,,1500,West,Sarah
1045,2024-04-20,Desk,Furniture,2.0,3000,North,John
1046,2024-04-22,Laptop,Electronics,1.0,12000,South,
1047,2024-04-24,Phone,Electronics,6.0,8000,East,David
1048,2024-04-26,Tablet,Electronics,2.0,6000,West,Sarah
1049,2024-04-28,Chair,Furniture,5.0,1500,North,John
1050,2024-04-30,Desk,Furniture,3.0,3000,South,Mary
