transaction_id,date,product,category,quantity,price,region,salesperson,revenue,month
1001,2024-01-05,Laptop,Electronics,2,12000,North,John,24000,January
1002,2024-01-07,Phone,Electronics,5,8000,South,Mary,40000,January
1003,2024-01-10,Tablet,Electronics,3,6000,East,David,18000,January
1004,2024-01-15,Chair,Furniture,3,1500,West,Sarah,4500,January
1005,2024-01-20,Desk,Furniture,2,3000,North,John,6000,January
1006,2024-01-22,Laptop,Electronics,1,12000,South,Mary,12000,January
1007,2024-01-25,Phone,Electronics,6,8000,East,David,48000,January
1008,2024-01-28,Tablet,Electronics,2,6000,West,Sarah,12000,January
1009,2024-02-01,Chair,Furniture,5,1500,North,John,7500,February
1010,2024-02-03,Desk,Furniture,3,3000,South,Mary,9000,February
1011,2024-02-05,Laptop,Electronics,2,12000,East,David,24000,February
1012,2024-02-07,Phone,Electronics,4,8000,West,Sarah,32000,February
1013,2024-02-10,Tablet,Electronics,3,6000,North,John,18000,February
1014,2024-02-12,Chair,Furniture,6,1500,South,Mary,9000,February
1015,2024-02-15,Desk,Furniture,2,3000,East,David,6000,February
1016,2024-02-18,Laptop,Electronics,1,12000,West,Sarah,12000,February
1017,2024-02-20,Phone,Electronics,7,8000,North,John,56000,February
1018,2024-02-22,Tablet,Electronics,2,6000,South,Mary,12000,February
1019,2024-02-25,Chair,Furniture,4,1500,East,David,6000,February
1020,2024-02-28,Desk,Furniture,3,3000,West,Sarah,9000,February
1021,2024-03-02,Laptop,Electronics,2,12000,North,John,24000,March
1022,2024-03-04,Phone,Electronics,5,8000,South,Mary,40000,March
1023,2024-03-06,Tablet,Electronics,3,6000,East,David,18000,March
1024,2024-03-08,Chair,Furniture,4,1500,West,Sarah,6000,March
1025,2024-03-10,Desk,Furniture,2,3000,North,John,6000,March
1026,2024-03-12,Laptop,Electronics,1,12000,South,Mary,12000,March
1027,2024-03-14,Phone,Electronics,6,8000,East,David,48000,March
1028,2024-03-16,Tablet,Electronics,2,6000,West,Sarah,12000,March
1029,2024-03-18,Chair,Furniture,5,1500,North,John,7500,March
1030,2024-03-20,Desk,Furniture,3,3000,South,Mary,9000,March
1031,2024-03-22,Laptop,Electronics,2,12000,East,David,24000,March
1032,2024-03-24,Phone,Electronics,4,8000,West,Sarah,32000,March
1033,2024-03-26,Tablet,Electronics,3,6000,North,John,18000,March
1034,2024-03-28,Chair,Furniture,6,1500,South,Mary,9000,March
1035,2024-03-30,Desk,Furniture,2,3000,East,David,6000,March
1036,2024-04-02,Laptop,Electronics,1,12000,West,Sarah,12000,April
1037,2024-04-04,Phone,Electronics,7,8000,North,John,56000,April
1038,2024-04-06,Tablet,Electronics,2,6000,South,Mary,12000,April
1039,2024-04-08,Chair,Furniture,4,1500,East,David,6000,April
1040,2024-04-10,Desk,Furniture,3,3000,West,Sarah,9000,April
1041,2024-04-12,Laptop,Electronics,2,12000,North,John,24000,April
1042,2024-04-14,Phone,Electronics,5,8000,South,Mary,40000,April
1043,2024-04-16,Tablet,Electronics,3,6000,East,David,18000,April
1044,2024-04-18,Chair,Furniture,3,1500,West,Sarah,4500,April
1045,2024-04-20,Desk,Furniture,2,3000,North,John,6000,April
1046,2024-04-22,Laptop,Electronics,1,12000,South,Mary,12000,April
1047,2024-04-24,Phone,Electronics,6,8000,East,David,48000,April
1048,2024-04-26,Tablet,Electronics,2,6000,West,Sarah,12000,April
1049,2024-04-28,Chair,Furniture,5,1500,North,John,7500,April
1050,2024-04-30,Desk,Furniture,3,3000,South,Mary,9000,April
